CLUTCH_NUMBER	MALE	FEMALE	REGION	POPULATION	DATE_OF_HATCH	DATE_SAMPLED	AGE_DAYS	DEV_TEMP	TANK	REP	LENGTH	MASS	EXPERIMENT	NOTES		
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	34.46	1.3558	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	35.86	1.5155	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	41.21	2.2841	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	36.56	1.6587	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	36.78	1.4961	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	37.43	1.6479	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	34.15	1.3216	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	33.09	1.1994	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	34.52	1.2805	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	33.80	1.2745	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	33.86	1.1897	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	31.04	0.9332	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	32.63	1.0572	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	30.19	0.7440	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	28.80	0.6886	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	31.24	0.9498	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	34.93	1.3128	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	34.49	1.3178	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	35.39	1.4775	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	34.39	1.4140	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	36.07	1.5908	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	36.47	1.6005	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	35.53	1.4884	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	32.01	1.0820	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	35.32	1.5903	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	34.49	1.3132	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	34.76	1.3856	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	34.39	1.3242	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	32.77	1.2773	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	32.75	1.1738	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	31.85	1.0716	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	29.77	0.8805	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	27.31	0.6790	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	24.22	0.4711	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	327	1	25.87	0.5968	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	32.33	1.1174	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	30.96	1.0318	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	31.71	0.9800	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	28.83	0.7689	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	32.95	1.1961	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	33.20	1.2721	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	33.34	1.2298	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	37.89	1.8348	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	32.99	1.0411	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	31.02	0.9205	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	29.45	0.8966	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	32.46	1.1117	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	29.46	0.9163	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	30.96	0.9720	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	26.84	0.7123	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	30.30	0.8864	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	27.85	0.6703	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	29.00	0.8363	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	31.5	256	2	29.99	0.9005	growth			
