CLUTCH_NUMBER	DATA_EGGS_FOUND	COLOR	MALE	FEMALE	REGION	POPULATION	MALE_STANDARD_LENGTH	MALE_MASS	FEMALE_STANDARD_LENGTH	FEMALE_MASS	MALE_LAT	MALE_LONG	FEMALE_LAT	FEMALE_LONG	TEMPERATURE	TANK	ROOM	CLUTCH_ORDER	DAYS_IN_TREATMENT	DATE_EGGS_LAST_CHECKED	PHOTO	DATE_OF_PHOTO	NUMBER_OF_EGGS_SAMPLED	NUMBER_OF_EGGS_LOST	EGG_COUNT	RESEARCHER	PHOTO_FOR_COUNT	DATE_OF_HATCH	HATCHING_TIME	HATCHLING_PHOTO_FILE	HATCHLINGS_PHOTO	HATCHLINGS_MEASURED	HATCHLINGS_EXP_USED	HATCHLINGS_UNHATCHED	HATCHLINGS_EXTRA	HATCHLINGS	HATCHING_SUCCESS	PROJECT_CODE	notes_hatchlings	notes
62	13/01/2023	white	CVLA049	CVLA098	core	Vlassof Cay	90.00	36.79	96.32	43.73	-16.657	145.990	-16.657	145.990	28.5	137	3	4	56	12/01/2023	Y	13/01/2023	10	0	476	EAS	IMG_7523	23/01/2023	10	IMG_7747	141	30	270	0	0	441	0.94635	3	hatchlings = 90 + 30 +180 +  photo	
63	14/01/2023	white	CSUD009	CSUD212	core	Sudbury Reef	103.00	50.94	103.80	49.03	-16.996	146.202	-16.996	146.202	27	172	3	2	57	13/01/2023	Y	14/01/2023	11	0	493	EAS	IMG_7546	25/01/2023	11	IMG_7780	238	30	90	0	0	358	0.74274	1	hatchlings = 90 + 30 + photo	
64	14/01/2023	white	CSUD002	CSUD213	core	Sudbury Reef	100.00	48.28	93.42	45.25	-16.996	146.202	-16.996	146.202	28.5	65	2	1	17	13/01/2023	Y	14/01/2023	12	0	416	EAS	IMG_7550	25/01/2023	11	IMG_7759	114	30	0	0	0	144	0.35644	0	hatchlings = 30 + photo	
65	17/01/2023	white	LSBI028	LSBI027	leading	St. Bee's Island	90.00	33.61	91.51	NA	-20.927	149.663	-20.927	149.663	28.5	233	3	2	60	16/01/2023	Y	17/01/2023	10	0	321	EAS	IMG_7604	27/01/2023	10	IMG_7798	130	30	120	0	0	280	0.90032	2	hatchlings = 30 + 120 +photo	
66	19/01/2023	white	CPRE375	CPRE377	core	Pretty Patches	102.52	54.28	101.42	55.75	-16.622	146.042	-16.622	146.042	27	268	3	1	62	18/01/2022	Y	19/01/2023	11	0	506	EAS	IMG_7624	30/01/2023	11	IMG_7883	352	30	90	0	4	476	0.96162	1	hatchlings = 30 + 90 + 4 (unhatched) + photo	
67	19/01/2023	white	CSUD013	CSUD017	core	Sudbury Reef	98.82	52.14	103.54	58.30	-16.996	146.202	-16.996	146.202	27	271	3	3	62	18/01/2022	Y	19/01/2023	12	0	689	EAS	IMG_7635	30/01/2023	11	IMG_7878	435	30	90	3	0	558	0.82422	1	hatchlings = 30 + 90 + 3 (unhatched) + photo	
68	20/01/2023	white	CARL218	CARL222	core	Arlington Reef	93.41	41.41	94.34	38.92	-16.702	145.986	-16.702	145.986	30	109	3	3	63	19/01/2023	Y	20/01/2023	10	2	503	EAS	IMG_7651	29/01/2023	9	IMG_7833	269	30	90	0	0	389	0.79226	1	hatchlings = 30 + 90 + photo  	
69	20/01/2023	white	LCKM164	LCKM156	leading	Cockermouth Island	102.82	54.16	88.02	33.47	-20.772	149.398	-20.772	149.398	28.5	242	3	2	63	19/01/2023	Y	20/01/2023	11	0	400	EAS	IMG_7655	30/01/2023	10	IMG_7870	116	30	120	14	0	280	0.71979	2	hatchlings = 30 + 120 + 14 (unhatched) + photo 	
70	20/01/2023	white	CSUD310	CSUD306	core	Sudbury Reef	95.42	47.19	93.82	42.83	-16.996	146.202	-16.996	146.202	30	255	3	2	63	19/01/2023	Y	20/02/2023	11	0	520	EAS	IMG_7663	29/01/2023	9	NA	NA	NA	NA	NA	NA	NA	NA	0	hatchlings = NA most hatchlings were eaten	
71	21/01/2023	white	CVLA106	CVLA091	core	Vlassof Cay	91.88	36.33	98.46	48.79	-16.657	145.990	-16.657	145.990	30	105	3	4	64	20/01/2023	Y	21/07/2023	11	0	468	EAS	IMG_7682	30/01/2023	9	IMG_7855	304	30	90	0	0	424	0.92779	1	hatchlings = 30 + 90 + photo	
72	21/01/2023	white	LSBI042	LSBI030	leading	St. Bee's Island	87.10	32.62	89.12	36.67	-20.927	149.663	-20.927	149.663	28.5	136	3	1	64	20/01/2023	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	pair ate all the eggs :(	
73	NA	NA	CARL344	CARL370	core	Arlington Reef	80.34	23.91	83.54	29.23	-16.702	145.986	-16.702	145.986	30	112	3	2	64	20/02/2023	N	NA	NA	NA	NA	NA	NA	20/01/2023	NA	IMG_7697	99	30	90	0	0	219	NA	1	hatchlings = 30 + 90 + photo	
74	22/01/2023	white	LSBI023	LCHA118	leading	Chauvel Reef/St. Bee's Island	90.20	34.53	87.66	38.67	-20.863	150.363	-20.927	149.663	28.5	235	3	2	65	21/01/2023	Y	22/01/2023	10	0	375	EAS	IMG_7703	1/02/2023	10	IMG_7928	52	30	120	26	0	228	0.62466	2	hatchlings = 30 + 120 + 26 (unhatched)	
75	22/01/2023	white	LSBI034	LCHA120	leading	Chauvel Reef/St. Bee's Island	85.10	28.44	90.92	36.71	-20.863	150.363	-20.927	149.663	28.5	244	3	2	65	21/01/2023	Y	22/01/2022	10	0	485	EAS	IMG_7713	2/02/2023	11	IMG_7931	92	30	120	3	13	258	0.54316	2	hatchlings = 30 + 120 + 3 (unhatched) + 11 + 2	
76	26/01/2023	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	2	69	25/01/2022	Y	26/01/2022	10	0	375	EAS	IMG_7782	6/02/2023	11	IMG_8060	238	30	90	0	0	358	0.98082	1	hatchlings = 30 + 90+ photo	
77	29/01/2023	white	CARL217	CARL226	core	Arlington Reef	78.40	23.15	72.47	16.28	-16.702	145.986	-16.702	145.986	28.5	144	3	3	72	28/01/2023	Y	29/01/2022	10	0	298	EAS	IMG_7802	7/02/2023	9	NA	0	30	120	13	12	175	0.60764	4	hatchlings = 30 + 120? (find out how many replicates yogi has) + 1 + 13 (unhatched) + 11	
78	30/01/2023	some color	CPRE189	CPRE202	core	Pretty Patches	98.74	57.31	99.60	47.19	-16.622	146.042	-16.622	146.042	28.5	208	3	3	73	29/01/2022	Y	30/01/2022	10	0	NA	NA	NA	7/02/2023	8	IMG_8088	155	30	90	0	0	275	NA	1	hatchlings = 30 + 90 +photo	poor picture quailty; use picutre from another clutch if possible
79	31/01/2023	white	CARL344	CARL370	core	Arlington Reef	80.34	23.91	83.54	29.23	-16.702	145.986	-16.702	145.986	30	112	3	3	74	20/01/2023	Y	31/01/2022	11	0	525	EAS	IMG_7890	9/02/2023	9	IMG_8107	58	30	90	0	0	178	0.34630	1	hatclings = 30 + 90 + photo 	"Eggs were last checked on the 20/01/2022. 31/01/2022 would have been the first day they would have laid eggs, being just 10 days after the previous clutch hatched. Eggs were all white with no sign of color. Confident that the eggs were laid on 31/01/2023."
80	1/02/2023	white	CARL237	CARL219	core	Arlington Reef	91.50	36.70	86.50	31.03	-16.702	145.986	-16.702	145.986	27	247	3	2	75	31/01/2023	Y	1/02/2023	12	0	373	EAS	IMG_7899	12/02/2023	11	IMG_8168	175	30	90	0	0	295	0.81717	1	hatchlings = 30 + 90 + photo	
81	3/02/2023	white	CARL230	CARL235	core	Arlington Reef	86.84	32.40	85.80	31.36	-16.702	145.986	-16.702	145.986	27	253	3	1	77	2/02/2023	Y	3/02/2023	10	0	500	EAS	IMG_7942	14/02/2023	11	IMG_8449	256	30	90	0	0	376	0.76735	1	hatchlings = 30 + 90 + photo 	
82	3/02/2023	white	COTT407	COTT399	core	Otter Reef	88.10	34.49	84.12	26.52	-18.083	146.550	-18.083	146.550	28.5	15	2	1	77	2/02/2023	Y	3/02/2023	10	0	383	EAS	IMG_7945	12/02/2023	9	NA	0	30	120	0	2	152	0.40751	2	hatchlings = 30 + 120 + 2 	
83	4/02/2023	white	CVLA049	CVLA098	core	Vlassof Cay	90.00	36.79	96.32	43.73	-16.657	145.990	-16.657	145.990	28.5	137	3	5	78	3/02/2023	Y	4/02/2023	10	1	496	EAS	IMG_7963	14/02/2023	10	NA	NA	NA	NA	NA	NA	NA	NA	0	hatchlings = photo 	
84	5/02/2023	white	CARL233	CARL215	core	Arlington Reef	88.62	35.52	99.12	52.02	-16.702	145.986	-16.702	145.986	30	108	3	2	79	4/02/2023	Y	5/02/2023	10	0	485	EAS	IMG_7967	14/02/2023	9	IMG_8458	304	30	90	0	0	424	0.89263	1	hatchlings = 30 + 90 + photo	
85	5/02/2023	white	CARL354	CARL355	core	Arlington Reef	87.22	31.58	84.76	29.85	-16.702	145.986	-16.702	145.986	27	124	3	3	79	4/02/2023	Y	5/02/2023	10	0	429	EAS	IMG_7976	16/02/2023	11	IMG_8488	250	30	90	0	3	373	0.89021	1	hatchlings = 30 + 90 +photo + 3	
