CLUTCH_NUMBER	MALE	FEMALE	REGION	POPULATION	DATE_OF_HATCH	DATE_CTMAX	AGE_DAYS	TRAY_COL	DEV_TEMP	TANK	REP	EXP_TANK	TRAY_ORD	LENGTH	MASS	RAMP_START_TIME	LOE_TIME	LOE_mean_JMD	LOE_TEMP_SENSOR	LOE_TEMP_HOBO	TEMP_DIFF	SURVIVAL_TIME	HOBO_OFFSET	LOE_TEMP_HOBO_ACTUAL	FIL_TEMP_DIFF	LOE_MEAN_EAS	EXPERIMENT	NOTES		
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	red	31.5	125	1	2	2	34.55	0.6451	11:33:47 AM	5:45:30 PM	37.16	37.1	37.220	0.12	6:11:43	0.076	37.144	0.044	37.122	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	16/06/2023	120		28.5	340	2			36.04	1.7760	12:00:00 PM	6:12:00 PM					6:12:00				37.200	Resp			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	16/06/2023	120		31.5	358	2			30.93	1.1477	12:00:00 PM	6:12:00 PM					6:12:00				37.200	Resp			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	red	31.5	125	1	2	1	37.66	0.8842	11:33:47 AM	5:51:00 PM	37.26	37.2	37.315	0.11	6:17:13	0.076	37.239	0.039	37.220	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	red	31.5	125	2	6	1	31.72	1.4655	10:33:39 AM	5:17:00 PM			37.233		6:43:21	0.007	37.226		37.226	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	red	31.5	125	2	6	5	34.34	1.6709	10:33:39 AM	5:17:00 PM			37.233		6:43:21	0.007	37.226		37.226	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	11/06/2023	115		30	150	1			30.77	1.0487	1:01:00 PM	7:18:00 PM					6:17:00				37.250	Resp			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	11/06/2023	115		30	150	1			31.97	1.4177	1:01:00 PM	7:18:00 PM					6:17:00				37.250	Resp			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	red	31.5	125	2	6	3	26.85	0.7946	10:33:39 AM	5:21:00 PM	37.29	37.3	37.288	-0.01	6:47:21	0.007	37.281	-0.019	37.290	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	red	31.5	125	2	6	4	30.46	1.1372	10:33:39 AM	5:21:00 PM	37.29	37.3	37.288	-0.01	6:47:21	0.007	37.281	-0.019	37.290	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	red	31.5	125	2	6	2	30.29	1.2728	10:33:39 AM	5:21:00 PM	37.29	37.3	37.288	-0.01	6:47:21	0.007	37.281	-0.019	37.290	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	red	31.5	125	1	2	4	27.29	0.9063	11:33:47 AM	5:54:00 PM	37.39	37.4	37.370	-0.03	6:20:13	0.076	37.294	-0.106	37.347	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	red	31.5	125	1	2	5	39.46	1.0217	11:33:47 AM	5:55:00 PM	37.40	37.4	37.398	0.00	6:21:13	0.076	37.322	-0.078	37.361	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	9/06/2023	113	red	31.5	125	1	2	3	30.98	1.3699	11:33:47 AM	5:55:00 PM	37.40	37.4	37.398	0.00	6:21:13	0.076	37.322	-0.078	37.361	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	blue	28.5	340	2	6	5	33.01	1.4717	10:33:39 AM	5:09:30 PM					6:35:51	0.007	-0.007			CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	white	30	334	2	6	1	28.24	0.8273	10:33:39 AM	5:09:30 PM					6:35:51	0.007	-0.007			CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	white	30	334	2	6	2	28.62	1.0142	10:33:39 AM	5:09:30 PM					6:35:51	0.007	-0.007		-0.007	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	white	30	334	2	6	5	29.62	1.0761	10:33:39 AM	5:09:30 PM					6:35:51	0.007	-0.007		-0.007	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	white	30	334	2	6	4	29.98	1.0779	10:33:39 AM	5:09:30 PM					6:35:51	0.007	-0.007		-0.007	CTmax			
87	CRUS426	CRUS360	core	Russel Island	16/02/2023	6/06/2023	110	white	30	334	2	6	3	30.43	1.1564	10:33:39 AM	5:09:30 PM					6:35:51	0.007	-0.007		-0.007	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	red	28.5	243	1	5	2	26.85	0.8154	12:13:52 PM	5:55:00 PM		36.6	36.661	0.06	5:41:08	0.111	36.550	-0.050	36.575	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	red	28.5	243	1	5	3	29.55	1.0272	12:13:52 PM	6:00:00 PM		36.6	36.742	0.14	5:46:08	0.111	36.631	0.031	36.616	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	red	28.5	243	1	5	4	33.35	1.4912	12:13:52 PM	6:03:00 PM		36.8	36.796	0.00	5:49:08	0.111	36.685	-0.115	36.743	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	white	28.5	338	2	1	2	35.69	1.9626	11:43:22 AM	5:30:00 PM		36.7	36.905	0.20	5:46:38	0.103	36.802	0.102	36.751	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	white	28.5	338	2	1	1	38.72	2.3020	11:43:22 AM	5:30:00 PM		36.7	36.905	0.20	5:46:38	0.103	36.802	0.102	36.751	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	blue	31.5	356	2	1	4	36.57	2.1737	11:43:22 AM	5:30:00 PM		36.7	36.905	0.20	5:46:38	0.103	36.802	0.102	36.751	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	white	28.5	338	2	1	4	38.62	2.3402	11:43:22 AM	5:32:00 PM		36.7	36.933	0.23	5:48:38	0.103	36.830	0.130	36.765	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	red	28.5	243	1	5	5	32.70	1.4789	12:13:52 PM	6:12:00 PM			36.960		5:58:08	0.111	36.849		36.849	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	red	28.5	243	1	5	1	33.55	1.4830	12:13:52 PM	6:12:00 PM			36.960		5:58:08	0.111	36.849		36.849	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136		30	252	1			30.55	0.9602	11:43:22 AM	5:31:00 PM					5:47:38				36.850	Resp			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	white	28.5	338	2	1	3	36.42	1.9799	11:43:22 AM	5:36:00 PM		36.8	37.015	0.22	5:52:38	0.103	36.912	0.112	36.856	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	white	28.5	338	2	1	5	41.26	3.1060	11:43:22 AM	5:33:00 PM			36.960		5:49:38	0.103	36.857		36.857	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136		30	252	1			34.54	1.7622	11:43:22 AM	5:32:00 PM					5:48:38				36.910	Resp			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	red	30	332	2	1	5	31.15	1.2593	11:43:22 AM	5:40:00 PM		36.9	37.096	0.20	5:56:38	0.103	36.993	0.093	36.947	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	red	30	332	2	1	3	33.16	1.4848	11:43:22 AM	5:40:00 PM		36.9	37.096	0.20	5:56:38	0.103	36.993	0.093	36.947	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	red	30	332	2	1	4	35.28	2.0047	11:43:22 AM	5:42:00 PM		36.9	37.124	0.22	5:58:38	0.103	37.021	0.121	36.961	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	white	30	252	1	5	1	31.66	1.3145	12:13:52 PM	6:21:00 PM		37.0	37.124	0.12	6:07:08	0.111	37.013	0.013	37.007	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	white	30	252	1	5	5	31.65	1.4231	12:13:52 PM	6:21:00 PM		37.0	37.124	0.12	6:07:08	0.111	37.013	0.013	37.007	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	white	30	252	1	5	2	33.61	1.7434	12:13:52 PM	6:21:00 PM		37.0	37.124	0.12	6:07:08	0.111	37.013	0.013	37.007	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	5/07/2023	135		28.5	338	2			39.20	2.1790	1:00:00 PM	7:07:00 PM					6:07:00				37.020	Resp			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	5/07/2023	135		28.5	338	2			40.67	2.6635	1:00:00 PM	7:07:00 PM					6:07:00				37.020	Resp			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	red	30	332	2	1	2	35.69	1.9348	11:43:22 AM	5:47:00 PM		37.0	37.151	0.15	6:03:38	0.103	37.048	0.048	37.024	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	red	30	332	2	1	1	39.65	2.7827	11:43:22 AM	5:47:00 PM		37.0	37.151	0.15	6:03:38	0.103	37.048	0.048	37.024	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136		31.5	255	1			30.24	1.1669	11:43:22 AM	5:58:00 PM					6:14:38				37.090	Resp			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	blue	31.5	356	2	1	5	32.59	1.5827	11:43:22 AM	5:55:00 PM		37.1	37.288	0.19	6:11:38	0.103	37.185	0.085	37.143	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136		31.5	255	1			30.53	1.2125	11:43:22 AM	5:52:00 PM					6:08:38				37.160	Resp			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	blue	31.5	255	1	5	3	36.42	2.2927	12:13:52 PM	6:28:00 PM		37.3	37.233	-0.02	6:14:08	0.111	37.122	-0.128	37.186	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	blue	31.5	255	1	5	4	29.86	1.3089	12:13:52 PM	6:30:00 PM		37.3	37.261	0.01	6:16:08	0.111	37.150	-0.100	37.200	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	blue	31.5	255	1	5	1	34.82	1.9416	12:13:52 PM	6:30:00 PM		37.3	37.261	0.01	6:16:08	0.111	37.150	-0.100	37.200	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	blue	31.5	255	1	5	2	35.48	1.9805	12:13:52 PM	6:30:00 PM		37.3	37.261	0.01	6:16:08	0.111	37.150	-0.100	37.200	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	white	30	252	1	5	3	32.79	1.5617	12:13:52 PM	6:28:00 PM		37.3	37.233	-0.07	6:14:08	0.111	37.122	-0.178	37.211	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	blue	31.5	255	1	5	5	29.06	1.0573	12:13:52 PM	6:28:00 PM		37.3	37.233	-0.07	6:14:08	0.111	37.122	-0.178	37.211	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	blue	31.5	356	2	1	2	32.06	1.3772	11:43:22 AM	5:58:00 PM		37.2	37.343	0.14	6:14:38	0.103	37.240	0.040	37.220	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	12/07/2023	142	white	30	252	1	5	4	33.33	1.6053	12:13:52 PM	6:35:00 PM		37.3	37.343	0.04	6:21:08	0.111	37.232	-0.068	37.266	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	blue	31.5	356	2	1	3	36.32	1.9680	11:43:22 AM	6:02:00 PM		37.3	37.398	0.10	6:18:38	0.103	37.295	-0.005	37.298	CTmax			
90	CSAT265	CSAT264	core	Satellite Reef	20/02/2023	6/07/2023	136	blue	31.5	356	2	1	1	31.51	1.2211	11:43:22 AM	6:13:00 PM		37.5	37.590	0.14	6:29:38	0.103	37.487	0.037	37.469	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137		28.5	339	1			30.75	1.0649	12:13:52 PM	5:49:00 PM					5:35:08				36.560	Resp			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	red	28.5	339	1	3	1	32.01	1.2934	12:13:52 PM	5:56:00 PM		36.7	36.715	0.02	5:42:08	0.080	36.635	-0.065	36.667	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	10/07/2023	135		30	248	1			33.22	1.3207	1:15:00 PM	7:13:00 PM					5:58:00				36.680	Resp			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	14/07/2023	139		30	135	2			30.73	1.0804	11:30:00 AM	5:25:00 PM					5:55:00				36.700	Resp			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	red	31.5	160	2	1	3	37.18	2.1037	11:50:15 AM	5:35:00 PM			36.796		5:44:45	0.068	36.728		36.728	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	red	28.5	339	1	3	5	29.29	0.9164	12:13:52 PM	6:03:00 PM		36.7	36.851	0.15	5:49:08	0.080	36.771	0.071	36.735	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137		28.5	339	1			38.48	2.1653	12:13:52 PM	6:01:00 PM					5:47:08				36.760	Resp			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	red	28.5	339	1	3	2	30.80	1.1023	12:13:52 PM	6:07:00 PM		36.8	36.905	0.11	5:53:08	0.080	36.825	0.025	36.812	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	red	28.5	339	1	3	4	33.05	1.4099	12:13:52 PM	6:07:00 PM		36.8	36.905	0.11	5:53:08	0.080	36.825	0.025	36.812	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	red	28.5	339	1	3	3	34.90	1.6314	12:13:52 PM	6:07:00 PM		36.8	36.905	0.11	5:53:08	0.080	36.825	0.025	36.812	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	white	30	232	2	5	3	34.43	1.6047	10:33:39 AM	5:04:00 PM	36.93		36.933		6:30:21	0.103	36.830		36.830	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	red	31.5	126	2	5	4	30.05	1.0521	10:33:39 AM	5:04:00 PM	36.93		36.933		6:30:21	0.103	36.830		36.830	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	red	31.5	126	2	5	1	31.52	1.2127	10:33:39 AM	5:04:00 PM	36.93		36.933		6:30:21	0.103	36.830		36.830	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	blue	28.5	147	1	3	3	32.11	1.3546	11:33:47 AM	5:27:30 PM	36.85	36.8	36.905	0.11	5:53:43	0.034	36.871	0.071	36.836	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	blue	28.5	147	1	3	5	33.89	1.5185	11:33:47 AM	5:27:30 PM	36.85	36.8	36.905	0.11	5:53:43	0.034	36.871	0.071	36.836	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	white	30	232	1	3	2	28.05	0.7979	11:33:47 AM	5:27:30 PM	36.85	36.8	36.905	0.11	5:53:43	0.034	36.871	0.071	36.836	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	white	30	232	1	3	5	37.58	2.1318	11:33:47 AM	5:27:30 PM	36.85	36.8	36.905	0.11	5:53:43	0.034	36.871	0.071	36.836	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	blue	28.5	339	1	1	5	25.76	1.7833	11:50:15 AM	5:42:00 PM			36.905		5:51:45	0.068	36.837		36.837	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	blue	28.5	339	1	1	4	36.92	1.8858	11:50:15 AM	5:42:00 PM			36.905		5:51:45	0.068	36.837		36.837	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	white	30	135	2	1	5	33.94	1.5099	11:50:15 AM	5:42:00 PM			36.905		5:51:45	0.068	36.837		36.837	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	white	30	248	1	3	2	28.73	0.9072	12:13:52 PM	6:10:00 PM			36.960		5:56:08	0.080	36.880		36.880	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	white	30	248	1	3	5	29.85	1.0150	12:13:52 PM	6:10:00 PM			36.960		5:56:08	0.080	36.880		36.880	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	10/07/2023	135		30	248	1			36.84	1.9722	1:15:00 PM	7:31:00 PM					6:16:00				36.890	Resp			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	red	31.5	160	2	1	4	29.07	1.0535	11:50:15 AM	5:40:00 PM		37.0	36.878	-0.12	5:49:45	0.068	36.810	-0.190	36.905	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	red	31.5	160	2	1	5	31.72	1.3613	11:50:15 AM	5:40:00 PM		37.0	36.878	-0.12	5:49:45	0.068	36.810	-0.190	36.905	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	14/07/2023	139		31.5	226	2			31.76	1.3216	11:30:00 AM	5:33:00 PM					6:03:00				36.910	Resp			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	blue	28.5	147	1	3	2	31.30	1.2248	11:33:47 AM	5:35:00 PM	36.93	36.9	37.015	0.16	6:01:13	0.034	36.981	0.131	36.916	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	blue	28.5	147	1	3	4	33.11	1.4585	11:33:47 AM	5:35:00 PM	36.93	36.9	37.015	0.16	6:01:13	0.034	36.981	0.131	36.916	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	white	30	232	1	3	1	34.07	1.5577	11:33:47 AM	5:35:00 PM	36.93	36.9	37.015	0.16	6:01:13	0.034	36.981	0.131	36.916	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	blue	28.5	339	1	1	3	34.84	1.6918	11:50:15 AM	5:46:00 PM			36.987		5:55:45	0.068	36.919		36.919	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	white	30	135	2	1	3	37.99	2.0784	11:50:15 AM	5:46:00 PM			36.987		5:55:45	0.068	36.919		36.919	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133		31.5	126	2			32.37	1.4326	11:33:47 AM	5:25:00 PM	36.93								36.930	Resp			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	blue	28.5	341	2	5	1	32.75	1.3322	10:33:39 AM	5:10:00 PM	37.04		37.042		6:36:21	0.103	36.939		36.939	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	blue	28.5	341	2	5	2	38.94	2.1591	10:33:39 AM	5:10:00 PM	37.04		37.042		6:36:21	0.103	36.939		36.939	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	10/06/2023	134		28.5	341	2			35.77	1.7416	12:15:00 PM	6:10:00 PM					5:55:00				36.940	Resp			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	10/06/2023	134		28.5	341	2			35.60	1.7568	12:15:00 PM	6:10:00 PM					5:55:00				36.940	Resp			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	blue	28.5	339	1	1	2	34.75	1.7931	11:50:15 AM	5:48:00 PM			37.015		5:57:45	0.068	36.947		36.947	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	red	31.5	160	2	1	2	24.16	0.5903	11:50:15 AM	5:48:00 PM			37.015		5:57:45	0.068	36.947		36.947	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	red	31.5	126	1	3	5	30.91	1.1255	11:33:47 AM	5:38:00 PM	36.98	36.9	37.069	0.17	6:04:13	0.034	37.035	0.135	36.968	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	blue	28.5	147	1	3	1	35.15	1.7950	11:33:47 AM	5:40:00 PM	37.00	36.9	37.096	0.20	6:06:13	0.034	37.062	0.162	36.981	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	blue	31.5	226	2	3	5	28.22	0.8489	12:13:52 PM	6:17:00 PM			37.069		6:03:08	0.080	36.989		36.989	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	white	30	232	1	3	3	33.82	1.4906	11:33:47 AM	5:41:00 PM	37.01	36.9	37.124	0.22	6:07:13	0.034	37.090	0.190	36.995	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138		31.5	226	2			45.93	4.6508	11:45:00 AM	5:51:00 PM					6:06:00				37.000	Resp			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	blue	28.5	339	1	1	1	33.34	1.3782	11:50:15 AM	5:52:00 PM			37.069		6:01:45	0.068	37.001		37.001	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	white	30	135	2	1	4	32.57	1.3083	11:50:15 AM	5:52:00 PM			37.069		6:01:45	0.068	37.001		37.001	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138	red	31.5	160	2	1	1	23.53	1.4441	11:50:15 AM	5:52:00 PM			37.069		6:01:45	0.068	37.001		37.001	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	blue	28.5	341	2	5	3	33.70	1.5190	10:33:39 AM	5:13:00 PM	37.12		37.124		6:39:21	0.103	37.021		37.021	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	white	30	232	2	5	4	34.89	1.6669	10:33:39 AM	5:13:00 PM	37.12		37.124		6:39:21	0.103	37.021		37.021	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	red	31.5	126	2	5	3	28.02	0.9360	10:33:39 AM	5:16:00 PM	37.08	37.0	37.151	0.15	6:42:21	0.103	37.048	0.048	37.024	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	white	30	248	1	3	4	29.84	1.0489	12:13:52 PM	6:19:00 PM			37.124		6:05:08	0.080	37.044		37.044	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	13/07/2023	138		31.5	226	2			35.34	1.4425	11:45:00 AM	5:55:00 PM					6:10:00				37.050	Resp			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	white	30	232	1	3	4	34.48	1.5906	11:33:47 AM	5:44:00 PM	37.10	37.1	37.151	0.10	6:10:13	0.034	37.117	0.067	37.084	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	red	31.5	126	1	3	2	29.16	0.9984	11:33:47 AM	5:44:00 PM	37.10	37.1	37.151	0.10	6:10:13	0.034	37.117	0.067	37.084	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	red	31.5	126	1	3	1	29.07	1.0400	11:33:47 AM	5:44:00 PM	37.10	37.1	37.151	0.10	6:10:13	0.034	37.117	0.067	37.084	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	9/06/2023	133	red	31.5	126	1	3	4	28.89	0.9919	11:33:47 AM	5:42:00 PM	37.11	37.1	37.124	0.02	6:08:13	0.034	37.090	-0.010	37.095	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	white	30	248	1	3	1	32.83	1.3797	12:13:52 PM	6:23:00 PM			37.178		6:09:08	0.080	37.098		37.098	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130		30	232	2			26.28	0.7333	10:33:39 AM	5:07:00 PM					6:33:21				37.130	Resp			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130		30	232	2			34.89	1.6669	10:33:39 AM	5:05:00 PM					6:31:21				37.130	Resp			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	blue	28.5	341	2	5	5	34.69	1.5533	10:33:39 AM	5:18:00 PM	37.19	37.2	37.178	-0.02	6:44:21	0.103	37.075	-0.125	37.137	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	white	30	232	2	5	2	26.28	0.7333	10:33:39 AM	5:18:00 PM	37.19	37.2	37.178	-0.02	6:44:21	0.103	37.075	-0.125	37.137	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	white	30	232	2	5	5	31.50	1.2430	10:33:39 AM	5:18:00 PM	37.19	37.2	37.178	-0.02	6:44:21	0.103	37.075	-0.125	37.137	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	white	30	248	1	3	3	29.37	1.0558	12:13:52 PM	6:25:00 PM			37.233		6:11:08	0.080	37.153		37.153	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	blue	31.5	226	2	3	1	28.62	0.9682	12:13:52 PM	6:25:00 PM			37.233		6:11:08	0.080	37.153		37.153	CTmax			
101	LSBI028	LSBI027	leading	St. Bee's Island	25/02/2023	12/07/2023	137	blue	31.5	226	2	3	3	31.68	1.3656	12:13:52 PM	6:25:00 PM			37.233		6:11:08	0.080	37.153		37.153	CTmax			
65	LSBI028	LSBI027	leading	St. Bee's Island	27/01/2023	6/06/2023	130	blue	28.5	341	2	5	4	33.05	1.2929	10:33:39 AM	5:22:00 PM	37.23	37.2	37.261	0.06	6:48:21	0.103	37.158	-0.042	37.179	CTmax			
