CLUTCH_NUMBER	MALE	FEMALE	REGION	POPULATION	DATE_OF_HATCH	DATE_CTMAX	AGE_DAYS	TRAY_COL	DEV_TEMP	TANK	REP	EXP_TANK	TRAY_ORD	LENGTH	MASS	RAMP_START_TIME	LOE_TIME	LOE_mean_JMD	LOE_TEMP_SENSOR	LOE_TEMP_HOBO	TEMP_DIFF	SURVIVAL_TIME	HOBO_OFFSET	LOE_TEMP_HOBO_ACTUAL	FIL_TEMP_DIFF	LOE_MEAN_EAS	EXPERIMENT	NOTES		
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	6/07/2023	123	red	30	149	1	3	4	31.32	1.1915	11:43:22 AM	5:39:00 PM		36.9	37.096	0.20	5:55:38	0.124	36.972	0.072	36.936	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	12/07/2023	113	white	30	333	2	1	2	27.57	0.7934	12:13:52 PM	6:16:00 PM			37.069		6:02:08	0.117	36.952		36.952	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	12/07/2023	113	white	30	333	2	1	5	29.05	0.9395	12:13:52 PM	6:16:00 PM			37.069		6:02:08	0.117	36.952		36.952	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	white	30	231	2	6	5	29.36	0.9791	11:50:15 AM	5:52:00 PM		37.0	36.960	-0.04	6:01:45	0.055	36.905	-0.095	36.953	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	white	30	231	2	6	2	35.25	1.8019	11:50:15 AM	5:52:00 PM		37.0	36.960	-0.04	6:01:45	0.055	36.905	-0.095	36.953	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	13/07/2023	130	white	30	231	2	6	4	26.39	0.6840	11:50:15 AM	5:56:00 PM			37.015		6:05:45	0.055	36.960		36.960	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	6/07/2023	123	white	28.5	141	2	3	1	35.41	1.9214	11:43:22 AM	5:45:00 PM		36.9	37.151	0.25	6:01:38	0.124	37.027	0.127	36.964	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	6/07/2023	123	red	30	149	1	3	2	34.51	1.7822	11:43:22 AM	5:42:00 PM		36.9	37.151	0.25	5:58:38	0.124	37.027	0.127	36.964	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	12/07/2023	113	white	30	333	2	1	4	34.63	1.8217	12:13:52 PM	6:18:00 PM			37.096		6:04:08	0.117	36.979		36.979	CTmax			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	11/07/2023	128		28.5	141	2			33.70	1.4097	1:18:00 PM	7:23:00 PM					6:05:00				36.980	Resp			
