Species,BP,ID,Tank,Rep_tank,Treatment,Rate,Time_load,Time_start,Time_end,Acc_time,Acc_time_min,Trial_time,Trial_time_h,CTmax,Date,Age,M1,M2,M3,SL,BW,logBW,BW_centred_all,Mean_BW,CI,Protein,CS,CS_date,LDH,LDH_date,Rate_min
A.poly,AP2,AP2_14_0.5_06,28B,B,28,0.5,7:11:00,7:30:00,0:00:00,0:19:00,19,16:30:00,16.5,36.67,4-Jan-18,14,10.182,10.187,10.129,10.17,5.97,0.775974331,-2.681677714,,0.005675596,5.178052558,0.173229,9-Apr-18,9.068619,9-Mar-18,0.008333333
A.poly,AP2,AP2_14_0.5_08,28A,A,28,0.5,6:51:00,7:30:00,23:30:00,0:39:00,39,16:00:00,16,36.55,4-Jan-18,14,11.55,11.551,11.587,11.56,8.72,0.940516485,0.068322286,,0.005644728,4.375900676,0.614697,11-Apr-18,20.56519,11-Apr-18,0.008333333
A.poly,AP2,AP2_14_0.5_12,28A,A,28,0.5,6:52:00,7:30:00,0:00:00,0:38:00,38,16:30:00,16.5,36.65,4-Jan-18,14,11.474,11.473,11.463,11.47,8.13,0.910090546,-0.521677714,,0.005387661,5.572614042,0.189076,27-Mar-18,4.330695,27-Mar-18,0.008333333
A.poly,AP2,AP2_21_0.5_05,28A,A,28,0.5,6:39:00,7:15:00,22:30:00,0:36:00,36,15:15:00,15.25,36.11,11-Jan-18,21,15.671,15.619,15.546,15.61,19.89,1.298634783,11.23832229,,0.005229089,14.84192894,6.55E-02,28-Mar-18,8.881235,28-Mar-18,0.008333333
A.poly,AP2,AP2_21_0.5_06,28B,B,28,0.5,6:51:00,7:15:00,22:30:00,0:24:00,24,15:15:00,15.25,36.19,11-Jan-18,21,15.299,15.102,15.04,15.15,18.75,1.273001272,10.09832229,,0.005392167,9.588989839,0.121788,10-Apr-18,15.526118,10-Apr-18,0.008333333
A.poly,AP2,AP2_21_0.5_08,28A,A,28,0.5,6:35:00,7:15:00,22:30:00,0:40:00,40,15:15:00,15.25,36.22,11-Jan-18,21,14.752,14.742,14.748,14.75,15.88,1.200850498,7.228322286,,0.00494851,7.038552407,0.178632,27-Mar-18,14.442097,27-Mar-18,0.008333333
A.poly,AP2,AP2_21_0.5_09,28B,B,28,0.5,6:52:00,7:15:00,23:15:00,0:23:00,23,16:00:00,16,36.25,11-Jan-18,21,14.676,14.512,14.592,14.59,16.78,1.224791956,8.128322286,,0.005402889,10.00009747,0.149182,27-Mar-18,12.37339,27-Mar-18,0.008333333
A.poly,AP2,AP2_21_0.5_10,28B,B,28,0.5,6:53:00,7:15:00,22:45:00,0:22:00,22,15:30:00,15.5,36.29,11-Jan-18,21,14.892,14.855,14.859,14.87,18.01,1.255513713,9.358322286,,0.00547748,7.368624562,0.14902,28-Mar-18,19.659711,28-Mar-18,0.008333333
A.poly,AP2,AP2_21_0.5_11,28A,A,28,0.5,6:40:00,7:15:00,22:45:00,0:35:00,35,15:30:00,15.5,36.12,11-Jan-18,21,15.018,14.954,14.968,14.98,17.46,1.242044239,8.808322286,,0.005194082,19.51148586,6.61E-02,27-Mar-18,5.5373,27-Mar-18,0.008333333
A.poly,AP3,AP3_07_0.5_03,28B,B,28,0.5,7:45:00,8:00:00,0:15:00,0:15:00,15,16:15:00,16.25,36.55,4-Feb-18,7,8.953,8.984,8.91,8.95,3.54,0.549003262,-5.111677714,,0.004937808,1.92389697,0.803182,3-May-18,13.247717,3-May-18,0.008333333
A.poly,AP3,AP3_07_0.5_06,28A,A,28,0.5,7:16:00,8:00:00,0:15:00,0:44:00,44,16:15:00,16.25,36.26,4-Feb-18,7,8.513,8.591,8.556,8.55,3.22,0.507855872,-5.431677714,,0.005151783,2.854882058,0.338709,9-May-18,12.282408,9-May-18,0.008333333
A.poly,AP3,AP3_07_0.5_07,28B,B,28,0.5,7:43:00,8:00:00,0:15:00,0:17:00,17,16:15:00,16.25,36.36,4-Feb-18,7,8.486,8.623,8.551,8.55,3.61,0.557507202,-5.041677714,,0.005775756,2.131257257,0.45767,3-May-18,20.754338,3-May-18,0.008333333
A.poly,AP3,AP3_07_0.5_09,28A,A,28,0.5,7:14:00,8:00:00,0:15:00,0:46:00,46,16:15:00,16.25,36.44,4-Feb-18,7,8.509,8.486,8.565,8.52,3.7,0.568201724,-4.951677714,,0.005982503,1.062713117,1.189289,2-May-18,34.14277,2-May-18,0.008333333
A.poly,AP3,AP3_07_0.5_10,28A,A,28,0.5,7:18:00,8:00:00,0:15:00,0:42:00,42,16:15:00,16.25,36.49,4-Feb-18,7,8.125,8.204,8.109,8.15,3.02,0.480006943,-5.631677714,,0.005578714,1.580003889,0.58051,3-May-18,22.274031,3-May-18,0.008333333
A.poly,AP3,AP3_07_0.5_12,28B,B,28,0.5,7:44:00,8:00:00,0:30:00,0:16:00,16,16:30:00,16.5,36.38,4-Feb-18,7,8.473,8.527,8.478,8.49,3.8,0.579783597,-4.851677714,,0.006209556,2.757029459,0.364906,9-May-18,14.493931,9-May-18,0.008333333
A.poly,AP3,AP3_14_0.5_01,28A,A,28,0.5,6:44:00,7:30:00,22:15:00,0:46:00,46,14:45:00,14.75,36,11-Feb-18,14,12.043,12.057,12.106,12.07,8.43,0.925827575,-0.221677714,,0.004794085,3.857112282,0.422396,9-May-18,12.491483,9-May-18,0.008333333
A.poly,AP3,AP3_14_0.5_03,28A,A,28,0.5,6:45:00,7:30:00,22:15:00,0:45:00,45,14:45:00,14.75,35.89,11-Feb-18,14,11.961,11.97,11.884,11.94,8.46,0.927370363,-0.191677714,,0.004970011,5.011914675,0.294115,4-May-18,11.014439,4-May-18,0.008333333
A.poly,AP3,AP3_14_0.5_04,28B,B,28,0.5,7:06:00,7:30:00,22:15:00,0:24:00,24,14:45:00,14.75,35.94,11-Feb-18,14,12.518,12.54,12.645,12.57,9.82,0.992111488,1.168322286,,0.00494431,4.948283841,0.330567,3-May-18,10.478364,3-May-18,0.008333333
A.poly,AP3,AP3_14_0.5_06,28A,A,28,0.5,6:46:00,7:30:00,22:45:00,0:44:00,44,15:15:00,15.25,36.05,11-Feb-18,14,12.225,12.152,12.222,12.2,8.51,0.92992956,-0.141677714,,0.004686516,3.647601431,0.422268,3-May-18,3.723373,3-May-18,0.008333333
A.poly,AP3,AP3_14_0.5_07,28B,B,28,0.5,7:09:00,7:30:00,22:15:00,0:21:00,21,14:45:00,14.75,35.95,11-Feb-18,14,12.32,12.427,12.301,12.35,9.53,0.979092901,0.878322286,,0.005059319,5.240770489,0.333916,4-May-18,14.095411,4-May-18,0.008333333
A.poly,AP3,AP3_14_0.5_12,28B,B,28,0.5,7:08:00,7:30:00,22:15:00,0:22:00,22,14:45:00,14.75,36.03,11-Feb-18,14,11.787,11.797,11.782,11.79,8.72,0.940516485,0.068322286,,0.005320777,3.433882566,0.339055,3-May-18,14.24338,3-May-18,0.008333333
