Species,BP,ID,Tank,Rep_tank,Treatment,Rate,Time_load,Time_start,Time_end,Acc_time,Acc_time_min,Trial_time,Trial_time_h,CTmax
A.poly,AP4,AP4_14_0.5_05,28B,B,28,0.5,7:23:00,7:45:00,22:45:00,0:22:00,22,15:00:00,15,36.05
A.poly,AP4,AP4_14_0.5_06,28A,A,28,0.5,7:10:00,7:45:00,23:00:00,0:35:00,35,15:15:00,15.25,36.11
A.poly,AP4,AP4_14_0.5_10,28B,B,28,0.5,7:24:00,7:45:00,22:30:00,0:21:00,21,14:45:00,14.75,35.95
A.poly,AP4,AP4_14_0.5_11,28A,A,28,0.5,7:08:00,7:45:00,23:15:00,0:37:00,37,15:30:00,15.5,36.06
A.poly,AP4,AP4_14_0.5_12,28B,B,28,0.5,7:25:00,7:45:00,22:45:00,0:20:00,20,15:00:00,15,36.03
A.poly,AP4,AP4_21_0.5_02,28A,A,28,0.5,6:59:00,7:45:00,22:15:00,0:46:00,46,14:30:00,14.5,35.82
A.poly,AP4,AP4_21_0.5_03,28B,B,28,0.5,7:19:00,7:45:00,22:15:00,0:26:00,26,14:30:00,14.5,35.75
A.poly,AP4,AP4_21_0.5_04,28B,B,28,0.5,7:22:00,7:45:00,22:45:00,0:23:00,23,15:00:00,15,36.03
A.poly,AP4,AP4_21_0.5_07,28A,A,28,0.5,7:00:00,7:45:00,22:15:00,0:45:00,45,14:30:00,14.5,35.82
A.poly,AP4,AP4_21_0.5_09,28A,A,28,0.5,7:01:00,7:45:00,23:00:00,0:44:00,44,15:15:00,15.25,36.06
A.poly,AP4,AP4_21_0.5_11,28B,B,28,0.5,7:22:00,7:45:00,23:00:00,0:23:00,23,15:15:00,15.25,36.11
A.poly,AP2,AP2_07_1.0_02,28A,A,28,1,6:54:00,7:30:00,15:30:00,0:36:00,36,8:00:00,8,36.5
A.poly,AP2,AP2_07_1.0_06,28B,B,28,1,7:12:00,7:30:00,15:30:00,0:18:00,18,8:00:00,8,36.02
