time_min,temperature
266.6668333,34.532
273.3335,34.611
280.0001667,34.755
286.6668333,34.856
293.3335,34.949
300.0001667,35.068
306.6668333,35.214
313.3335,35.287
320.0001667,35.393
326.6668333,35.501
333.3335,35.648
340.0001667,35.825
346.6668333,36.004
353.3335,36.129
360.0001667,36.277
366.6668333,36.382
373.3335,36.457
380.0001667,36.602
386.6668333,36.688
393.3335,36.804
400.0001667,36.871
406.6668333,37.037
413.3335,37.148
420.0001667,37.249
